team,games,wins,losses,super_elo,mov_elo,off_efg_elo,off_tov_elo,off_orb_elo,off_ftr_elo,def_efg_elo,def_tov_elo,def_orb_elo,def_ftr_elo,rank
Georgia Tech,34,17,17,1585.468916573455,1585.4689165734542,1497.6827262818188,1499.3679039574172,1540.5258410547583,1495.3786734934504,1581.740937691972,1449.9007004624727,1549.6504380908614,1590.716019423911,99
Washington,30,12,18,1585.304470078489,1585.304470078488,1559.0286785431722,1535.55852105179,1459.7434777110798,1554.5086433499207,1519.9810603772978,1514.585167140384,1569.4477486045284,1484.6933110782236,100
UAB,36,23,13,1581.887098440117,1581.887098440116,1477.312623044502,1677.8492300363735,1703.2493948567246,1459.65647699901,1471.2701738246392,1406.3153815864173,1488.9123812127323,1618.7915597914493,101
Troy,32,21,11,1578.301478595845,1578.3014785958442,1463.7953946864652,1374.748490315475,1719.832285610578,1559.217868229218,1558.6590714473493,1647.1795854998622,1462.1440178656194,1546.649253574739,102
Virginia,32,15,17,1577.3901396017106,1577.3901396017097,1600.4713312593972,1555.6472217237508,1336.091798092586,1424.8841392782692,1549.6775842410943,1441.9297785506153,1546.9627977370546,1591.0529558649416,103
California,33,14,19,1575.2798608268367,1575.2798608268358,1441.0798642313055,1551.7409967848748,1669.5794590082392,1604.2408976181034,1486.0447721351627,1469.8092903623922,1558.0998128844947,1515.7301031052355,104
N.C. State,31,12,19,1574.116730621535,1574.116730621534,1449.765718195565,1622.3140070176853,1523.642175221497,1513.246977645779,1543.9306806621744,1581.1864296273425,1449.9345014646835,1523.6837961720053,105
Akron,33,26,7,1572.2104994532979,1572.210499453297,1570.6718675972857,1553.0313178120011,1598.6220678586978,1388.775904623794,1476.8258194256425,1538.1772821228192,1489.848044368628,1496.1251544644058,106
DePaul,34,14,20,1570.4569784573866,1570.4569784573857,1600.8123815117299,1475.593636618989,1465.3820737445699,1424.480744630477,1517.8620490710698,1451.3192388407763,1552.2846262155622,1548.905066350938,107
Washington St.,34,19,15,1567.3239684115695,1567.3239684115686,1694.7299513948192,1334.1578488862197,1580.5038502236216,1501.0354652015458,1539.9612646883693,1494.2466762849995,1405.6685538777404,1504.4544550661305,108
Chattanooga,36,27,9,1566.2320003391715,1566.2320003391706,1675.66001225679,1594.70421971522,1382.3708614159996,1446.0951081030753,1464.5161382197844,1443.1136651290105,1523.7791545198124,1472.5040856107864,109
Florida Atlantic,33,17,16,1564.5464051268534,1564.5464051268525,1575.804246051698,1567.3757395357422,1512.386621727779,1512.6850313278185,1518.1303417192846,1454.6015869457178,1466.437922264369,1562.0368650576092,110
Syracuse,33,14,19,1563.365258587554,1563.3652585875532,1551.027637994563,1477.7342670832663,1572.9483129668527,1516.9398015394183,1496.74502965163,1375.8243747609006,1626.306082882721,1514.965836069778,111
Utah Valley,32,23,9,1562.5145574969524,1562.5145574969515,1466.5504343243729,1525.328608333378,1554.512403792272,1625.8199833177935,1560.7601593089294,1443.618450627872,1619.8825801716332,1557.8948884275762,112
Cal St. Northridge,31,20,11,1559.4086914841528,1559.4086914841519,1519.4708432228497,1408.126894874327,1665.7327170575218,1531.0652079212496,1529.395263300257,1579.8921006063615,1620.5834018893433,1294.7598186629582,113
