Rk,Team,Conf,Adj. Eff._Off.,Adj. Eff._Def.,Eff. FG%_Off.,Eff. FG%_Def.,Turnover%_Off.,Turnover%_Def.,Off. Reb%_Off.,Off. Reb%_Def.,FT Rate_Off.,FT Rate_Def.,FT%_Off.,FT%_Def.,2P%_Off.,2P%_Def.,3P%_Off.,3P%_Def.
96,Delaware,CUSA,103.8,112.4,53.9,52.7,19.0,15.5,23.8,29.4,20.7,30.1,68.7,79.2,50.2,50.4,39.1,37.1
97,Rhode Island,A10,108.5,104.6,53.9,49.4,18.3,22.3,35.0,34.8,40.6,39.5,73.0,70.6,58.1,49.0,32.0,33.3
98,Baylor,B12,120.5,104.8,53.7,52.6,15.5,17.3,41.6,33.8,40.2,28.4,73.8,79.9,54.4,53.3,35.1,34.2
99,Wyoming,MWC,109.0,105.2,53.7,46.1,16.4,19.3,36.8,26.1,37.1,55.4,67.7,70.9,54.6,50.6,35.0,25.8
100,Colgate,Pat,107.6,109.3,53.6,49.1,15.1,15.6,23.0,34.0,22.6,31.8,77.8,73.6,55.3,50.8,33.5,31.0
,,,,,,,,,,,,,,,,,,
Rk,Team,Conf,,,,,,,,,,,,,,,,
101,Hawaii,BW,107.3,99.7,53.5,42.7,20.6,17.7,33.9,23.4,54.4,42.5,70.5,64.9,57.0,43.0,31.4,27.9
102,LIU,NEC,104.5,110.6,53.5,53.2,20.8,18.7,35.4,37.7,37.3,35.6,63.5,68.0,52.8,55.8,37.0,32.1
103,Houston Christian,Slnd,104.7,112.6,53.5,58.1,16.2,18.0,26.6,25.1,32.9,27.5,54.6,71.6,55.0,57.1,34.3,39.7
104,Idaho,BSky,111.1,111.7,53.4,53.2,16.7,14.1,30.6,23.3,39.9,40.6,74.8,70.0,54.5,54.0,35.0,34.6
105,San Francisco,WCC,112.2,102.3,53.4,47.2,18.8,15.2,34.6,33.4,41.1,32.9,69.5,67.3,50.2,45.3,37.9,33.9
106,VCU,A10,112.3,98.0,53.4,46.3,17.6,19.8,34.4,31.5,46.9,39.1,69.8,71.0,53.1,44.8,35.8,33.1
107,Utah,B12,111.7,106.2,53.4,51.3,16.8,15.4,30.7,28.8,36.6,34.3,73.2,67.2,53.8,51.1,35.2,34.4
108,Northern Iowa,MVC,108.0,98.1,53.3,44.1,13.8,20.8,20.2,26.9,26.9,32.3,68.9,68.3,52.7,46.3,36.0,27.4
109,Clemson,ACC,116.8,98.9,53.3,45.2,12.7,15.9,36.6,24.6,40.6,35.8,74.9,70.4,56.4,47.8,32.8,27.9
110,Oakland,Horz,113.8,114.0,53.3,58.6,13.3,14.1,27.1,34.0,34.3,24.5,74.4,71.6,53.2,60.5,35.6,37.3
111,Santa Clara,WCC,116.8,100.3,53.2,46.6,16.1,21.1,41.5,32.0,27.3,42.1,67.1,76.4,55.6,48.3,33.3,29.2
112,Arizona St.,B12,113.6,105.1,53.2,53.0,14.3,21.5,28.4,32.8,44.1,40.0,72.8,74.0,51.7,55.8,37.0,32.8
113,Dayton,A10,111.2,100.1,53.1,53.1,16.9,24.5,26.2,29.1,48.5,32.9,72.4,70.5,55.6,48.5,33.2,40.1
114,UMBC,AE,104.2,112.9,53.0,52.2,19.9,14.1,26.3,28.2,31.9,23.2,71.0,72.3,54.3,50.5,34.0,37.2
115,James Madison,SB,110.9,111.9,53.0,51.4,15.8,15.8,29.2,32.3,33.0,44.4,71.0,72.4,49.4,51.4,38.0,34.3
116,Illinois St.,MVC,112.4,103.8,53.0,48.6,13.8,14.2,27.4,23.0,40.0,35.5,70.6,62.0,53.5,50.5,34.9,30.4
117,Robert Morris,Horz,107.4,108.5,52.9,48.5,20.1,16.6,39.3,33.1,22.6,51.0,64.0,75.0,52.4,49.5,35.7,31.1
118,UNC Wilmington,CAA,111.6,105.6,52.8,46.6,15.7,16.3,39.0,26.3,41.9,25.5,72.7,75.9,51.1,47.3,37.0,30.5
119,Sam Houston St.,CUSA,108.7,110.3,52.7,54.0,16.7,19.1,37.9,38.8,29.8,51.4,79.8,66.5,49.8,60.8,38.2,30.9
120,Southern Illinois,MVC,108.4,107.3,52.7,49.6,16.2,16.9,32.7,32.3,35.2,30.7,68.2,71.3,57.1,49.0,27.4,33.6
121,St. Bonaventure,A10,109.1,103.5,52.7,49.7,18.8,20.1,37.6,30.3,26.9,32.5,74.5,74.7,51.1,49.0,37.6,33.9
122,Kennesaw St.,CUSA,109.9,108.1,52.7,46.8,18.3,16.7,37.3,29.3,52.7,56.4,69.1,76.8,55.7,44.0,32.3,34.4
123,Tennessee Martin,OVC,100.3,110.7,52.6,46.8,22.8,17.8,32.0,31.3,53.8,45.5,66.1,71.0,54.1,50.8,34.0,27.7
124,Florida Atlantic,Amer,110.7,108.5,52.5,52.7,17.3,16.2,34.3,29.0,30.4,34.6,74.0,71.3,51.8,48.4,35.7,40.3
125,Minnesota,B10,110.8,102.8,52.5,50.0,18.2,16.9,36.2,24.9,53.7,32.6,67.1,65.9,55.7,46.3,31.7,37.2
126,Idaho St.,BSky,103.4,108.0,52.5,48.3,22.0,18.0,36.0,35.0,37.9,30.3,74.1,75.4,57.0,49.8,31.6,30.5
127,UC Riverside,BW,102.8,112.5,52.5,50.8,21.9,13.5,26.8,28.9,41.6,36.2,73.1,65.5,52.7,51.7,34.8,32.7
128,North Carolina,ACC,118.0,96.8,52.5,42.5,16.0,15.1,38.1,27.3,42.4,25.5,71.1,70.0,56.0,40.4,31.7,31.0
129,Winthrop,BSth,113.5,110.1,52.4,53.7,13.4,17.9,33.8,29.2,34.7,35.0,75.3,74.2,51.8,53.6,35.5,35.8
130,Pacific,WCC,107.1,105.6,52.4,46.0,19.5,15.5,34.7,24.7,33.5,39.0,77.8,67.9,54.3,47.0,32.8,29.6
131,Harvard,Ivy,104.5,110.4,52.4,54.3,18.3,18.8,26.5,27.4,25.1,27.6,80.4,70.2,51.8,54.2,35.5,36.3
132,Oregon St.,WCC,108.9,107.5,52.4,48.2,19.3,16.1,27.1,34.1,43.2,34.7,77.3,72.6,51.9,49.3,35.2,31.0
133,Drake,MVC,107.7,104.7,52.4,47.1,12.6,13.9,26.4,30.4,30.0,27.8,73.6,63.5,50.2,48.1,36.8,30.2
134,Tulane,Amer,110.7,112.8,52.3,55.7,13.4,17.0,20.8,32.8,47.2,38.4,77.5,66.3,54.4,51.6,33.0,40.4
135,Weber St.,BSky,106.0,110.7,52.3,48.5,17.0,16.5,33.5,28.5,36.2,41.1,71.5,72.6,54.1,52.5,32.4,27.3
136,Dartmouth,Ivy,103.6,110.8,52.3,50.7,20.8,13.6,27.0,27.3,43.2,27.0,75.0,74.8,48.8,54.5,37.3,29.3
137,Kansas,B12,116.2,93.7,52.3,43.3,16.5,13.0,28.5,26.0,37.3,29.0,75.9,67.1,54.0,48.0,33.0,24.8
138,Mississippi,SEC,116.2,102.7,52.2,48.9,14.9,18.5,34.2,31.7,36.2,33.6,75.9,68.0,50.0,46.8,37.5,34.6
